# 
# 05/11/2026 01:18:06
# The parameters defined in the project are:
# ,P1 - Force X Component [N],P3 - Force Z Component [N],P29 - Mass [kg],P30 - K factor,P31 - Angle [degree],P4 - Equivalent Stress Maximum [MPa],P5 - Equivalent Stress Average [MPa],P6 - Maximum Principal Stress Maximum [MPa],P7 - Maximum Principal Stress Minimum [MPa],P8 - Maximum Principal Stress Average [MPa],P9 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Maximum [mm],P26 - Safety Factor (neck) Minimum,P27 - Safety Factor (STEM 2) Minimum,P28 - Safety Factor (STEM 1) Minimum
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P3,P29,P30,P31,P4,P5,P6,P7,P8,P9,P16,P26,P27,P28
DP 52,1738.97,306.63,60,3,10,503.12778255511967,10.093750494068898,536.08899886121958,-139.36634529902219,4.7309820774948568,1.1812843171288004E-09,0.69542097420954652,1.6437176174213732,4.02286579270799,1.7604097272650836
DP 53,1659.31,603.94,60,3,20,443.35515731535179,8.7666922293026133,452.93520712314222,-124.87660441326648,3.9350391312045567,1.0057683628028129E-09,0.57946151771457466,1.865321709592221,5.727015584881971,1.9992617252562452
DP 54,2060.1,0,60,3.5,0,638.88670772914861,13.010438919596211,703.45036360723168,-174.41253474599694,6.3037667635194419,1.1422782302037603E-09,0.92205217687094942,1.294439201810097,2.7198432589515584,1.3854866891363486
DP 55,2028.8,357.73,60,3.5,10,586.98352657145529,11.776066924603814,625.43867321445123,-162.59433888024279,5.5194936128937613,6.4959207810246752E-10,0.81132656001167791,1.4088981420491815,3.448155227867495,1.5089197560243848
DP 56,1935.86,704.6,60,3.5,20,517.24677392280478,10.227788111037359,528.42320726438413,-145.68914208088734,4.5908678507402891,1.1193974166307688E-09,0.67603677201177315,1.5988499913262348,4.9088936429154488,1.7136559888751985
DP 57,2354.4,0,60,4,0,730.15625329456554,14.869073052260605,803.94327585588837,-199.32861132447638,7.2043048773342857,1.3056565360788735E-09,1.053773900619368,1.1326342769351934,2.3798628575283205,1.212300854617006
DP 58,2318.63,408.84,60,4,10,670.83808179476557,13.458354975291442,714.78646548838753,-185.82207317619179,6.3079862317711379,9.9410989591046513E-10,0.9272294260294931,1.2327863048374319,3.0171438534200949,1.320305260543406
DP 59,2212.41,805.25,60,4,20,591.13957634452322,11.688911112885069,603.91308715811908,-166.50194089064996,5.2467148085878845,1.3294185402411034E-09,0.77261474280429765,1.3989927812209524,4.2952603703137786,1.4994479403216912
DP 60,1765.8,0,60,3,0,547.617184230644,11.151804788893694,602.95745293807136,-149.49646026090241,5.4032286528711708,9.9328912452176255E-10,0.79033045407294911,1.51017905174372,3.1731504690557042,1.6164011558181348
DP 61,1738.97,306.63,60,3,10,503.12778255513427,10.093750494988763,536.08899839431513,-139.36634514679818,4.7309820726754452,1.1429393747073338E-09,0.69542097420954652,1.6437176174213248,4.02286579270799,1.7604097278814064
DP 62,1659.31,603.94,60,3,20,443.35514950668608,8.7666922381133627,452.93520978207113,-124.8766016896716,3.9350391166069354,4.7071803653318644E-10,0.57946151771457466,1.8653217424455071,5.7270155925765023,1.9992617012246321
DP 63,2060.1,0,60,3.5,0,638.88670772914861,13.010438920520683,703.45036360723168,-174.41253474361181,6.3037667647958964,1.143807300365273E-09,0.92205217687094942,1.294439201810097,2.7198432589515584,1.385486689219467
